-120, -6.000000, 0, 837.954651, 41.897732 
-120, -6.000000, 0, 840.383606, 42.019180 
1150, -120, -111.400981, 0, 40.453804, 156.888138 
1160, -120, -114.851450, 0, 53.562634, 234.874481 
1170, 7, -104.788935, 0, 131.376297, 173.949829 
1180, -120, -101.469529, 0, 47.843872, 169.725906 
1190, -120, -98.253247, 0, 1020.008301, 274.529694 
1200, -120, -106.979416, 0, 811.992188, 264.554016 
1210, -120, -102.320571, 0, 888.588135, 281.270996 
1220, -120, -94.813596, 0, 158.959045, 286.032715 
1230, -120, -89.255510, 0, 76.574303, 216.155228 
1240, 1, -91.708751, 0, 190.972519, 298.043610 
1250, -120, -103.060984, 0, 821.007812, 464.071808 
1260, -120, -109.857985, 0, 105.055779, 367.288910 
1270, -120, -108.461836, 0, 78.052666, 264.106415 
1280, -120, -113.091675, 0, 202.532181, 211.040955 
1290, -5, -110.113731, 0, 189.879456, 249.214279 
1300, -120, -114.080725, 0, 78.915894, 219.594757 
1310, -120, -110.696537, 0, 54.851608, 155.178940 
1320, -120, -98.711619, 0, 72.065193, 146.714035 
1330, -120, -107.253860, 0, 260.164429, 209.756836 
1340, -120, -96.264117, 0, 47.451473, 146.754181 
1350, -120, -101.573657, 0, 63.009079, 149.351624 
1360, -120, -99.541321, 0, 173.066299, 349.676422 
1370, -120, -93.895253, 0, 92.566704, 257.505524 
1380, -120, -100.348138, 0, 101.684723, 258.284882 
1390, -120, -108.233704, 0, 71.470535, 179.316574 
1400, -120, -109.134197, 0, 24.134153, 168.812988 
1410, -120, -108.022836, 0, 83.083229, 231.977005 
1420, -120, -108.614037, 0, 94.297234, 211.340668 
1430, -120, -98.833641, 0, 85.735771, 150.993225 
1440, -120, -107.326919, 0, 92.093651, 193.998016 
1450, -120, -106.940752, 0, 73.970573, 167.059158 
1460, -120, -97.496854, 0, 48.827286, 127.271362 
1470, -120, -106.526535, 0, 1226.508545, 301.129486 
1480, -5, -92.836790, 0, 1139.283325, 389.786194 
1490, -120, -97.982945, 0, 277.885651, 303.997467 
1500, 1, -96.737236, 0, 125.924232, 236.489365 
1510, -120, -100.605958, 0, 121.159874, 186.886337 
1520, 7, -97.124710, 0, 129.547501, 171.891373 
1530, -120, -106.303719, 0, 260.010498, 162.279114 
1540, 7, -95.134611, 0, 81.176636, 187.155945 
1550, -120, -95.352833, 0, 961.465393, 239.981827 
1560, -120, -89.379973, 0, 79.672295, 299.796356 
1570, -5, -91.397107, 0, 641.610168, 281.624725 
1580, -120, -102.874392, 0, 174.405960, 304.181488 
1590, -120, -109.746266, 0, 104.988060, 241.241165 
1600, -120, -102.214304, 0, 183.839615, 186.251434 
1610, -5, -98.663103, 0, 217.069824, 317.395111 
1620, -120, -91.961898, 0, 126.808990, 250.345810 
1630, -120, -86.383621, 0, 113.625587, 395.661652 
1640, -120, -90.528033, 0, 602.441406, 414.022156 
1650, -120, -87.011123, 0, 38.012344, 387.639709 
1660, -120, -100.248341, 0, 516.847168, 383.566345 
1670, -120, -108.173952, 0, 349.767181, 337.226105 
1680, 7, -106.544308, 0, 99.132629, 249.365036 
1690, -120, -105.941955, 0, 267.578339, 232.734253 
1700, 13, -99.702952, 0, 27.851305, 172.331757 
1710, -120, -104.026521, 0, 1811.493042, 343.924042 
1720, -120, -110.436088, 0, 39.809376, 261.282379 
1730, -120, -109.824492, 0, 120.845100, 186.415237 
1740, -120, -101.148162, 0, 143.556290, 234.114716 
1750, -120, -95.611388, 0, 498.170776, 347.918976 
1760, -120, -101.773703, 0, 57.639160, 382.752319 
1770, -120, -104.638002, 0, 137.739487, 322.881714 
1780, 1, -104.739705, 0, 38.095135, 243.563004 
1790, -120, -105.930244, 0, 885.731445, 296.208618 
1800, -120, -101.754703, 0, 214.163620, 388.037170 
1810, -120, -109.075867, 0, 86.979210, 297.730347 
1820, -120, -104.637548, 0, 104.004089, 217.708908 
1830, -120, -110.801932, 0, 571.697693, 216.206970 
1840, -120, -103.325468, 0, 57.457508, 206.395660 
1850, -120, -100.048111, 0, 66.034134, 240.248749 
1860, -120, -103.820397, 0, 130.869125, 323.709351 
1870, -120, -97.132512, 0, 92.174408, 382.227692 
1880, 7, -89.097629, 0, 66.710518, 274.505219 
1890, -120, -95.441359, 0, 108.347694, 218.641754 
1900, -120, -89.715207, 0, 1204.559692, 286.528717 
1910, 13, -95.179876, 0, 110.625252, 335.247040 
1920, -120, -100.206421, 0, 57.313992, 345.822052 
1930, -120, -108.148853, 0, 53.433674, 292.328766 
1940, -120, -112.904281, 0, 45.238087, 320.896576 
1950, -120, -109.398406, 0, 221.297104, 256.778229 
1960, -120, -113.652434, 0, 85.264305, 186.078506 
1970, -120, -111.747577, 0, 110.360901, 257.288086 
1980, 10, -98.482060, 0, 148.742020, 294.272125 
1990, -120, -102.186508, 0, 42.944122, 241.235214 
2000, -120, -105.105099, 0, 801.916809, 259.005341 
2010, 7, -98.650623, 0, 66.819023, 216.450821 
2020, -120, -107.217339, 0, 35.068962, 152.549164 
2030, 1, -106.284049, 0, 1510.673462, 267.983215 
2040, -120, -103.106548, 0, 127.100128, 258.560699 
2050, -120, -109.885266, 0, 78.921501, 368.159943 
2060, -120, -109.710265, 0, 91.223450, 291.231323 
2070, -120, -107.730359, 0, 80.972046, 235.846664 
2080, 10, -101.893157, 0, 133.676498, 228.035583 
2090, -120, -105.344097, 0, 46.393494, 232.376022 
2100, -120, -106.773069, 0, 151.904892, 224.322067 
2110, -120, -97.930463, 0, 174.435257, 340.424591 
2120, -120, -100.784528, 0, 39.071602, 258.926300 
2130, -120, -87.446084, 0, 168.216537, 238.833755 
2140, -120, -89.874371, 0, 226.599228, 323.539978 
2150, -120, -89.395732, 0, 146.796082, 281.983887 
2160, 7, -84.070313, 0, 95.893913, 278.429962 
2170, -120, -83.217920, 0, 169.938599, 288.129700 
2180, -120, -93.286163, 0, 1237.091919, 346.589142 
2190, -120, -98.816064, 0, 184.683517, 274.159454 
2200, -120, -93.967719, 0, 196.988403, 283.879456 
2210, 7, -91.685387, 0, 163.993851, 322.561249 
2220, -120, -98.597755, 0, 44.571854, 316.673370 
2230, -120, -102.729191, 0, 913.531006, 466.912079 
2240, -5, -97.873860, 0, 755.028870, 439.700226 
2250, -120, -96.893555, 0, 178.428665, 344.734253 
2260, 20, -99.165318, 0, 41.952435, 286.892975 
2270, 13, -95.390996, 0, 31.541565, 327.511200 
2280, -120, -105.265680, 0, 138.590683, 293.776062 
2290, -120, -111.178018, 0, 157.017685, 260.124664 
2300, -120, -102.960160, 0, 41.481392, 198.716934 
2310, -120, -109.797618, 0, 921.171326, 242.801254 
2320, -120, -103.785014, 0, 43.770191, 243.927032 
2330, -120, -100.172208, 0, 67.077744, 209.155151 
2340, -120, -108.128368, 0, 169.248672, 228.774536 
2350, -120, -97.669074, 0, 54.467224, 240.854187 
0, -120, -6.000000, 0, 56.558361, 2.827918 
10, -120, -47.287494, 0, 312.502960, 186.682495 
20, -120, -61.986495, 0, 68.557640, 213.777725 
30, -120, -70.813559, 0, 51.534702, 314.623810 
40, -120, -90.550261, 0, 470.844086, 293.706543 
50, -120, -93.154078, 0, 736.242432, 273.121155 
60, 7, -93.094860, 0, 85.288277, 226.291656 
70, -120, -100.070012, 0, 583.340881, 224.888855 
80, -120, -98.098950, 0, 83.758972, 287.834045 
90, -120, -106.887032, 0, 261.319611, 310.712402 
100, -120, -101.938850, 0, 64.937393, 228.734497 
110, -120, -95.791193, 0, 913.996399, 269.187683 
120, -120, -94.836051, 0, 528.418335, 257.413971 
130, -120, -99.174039, 0, 20.700342, 259.065643 
140, -120, -96.596822, 0, 156.685593, 267.120880 
150, -120, -92.055798, 0, 36.478058, 312.937866 
160, -120, -93.609710, 0, 320.463654, 284.878357 
170, -120, -99.266305, 0, 103.341499, 294.072510 
180, -120, -107.585971, 0, 125.714012, 231.296310 
190, -120, -101.967081, 0, 101.532616, 193.403290 
200, 13, -92.530208, 0, 65.519402, 262.371704 
210, -120, -103.552821, 0, 91.637520, 198.327515 
220, -120, -99.819527, 0, 90.878723, 296.940216 
230, -120, -98.495423, 0, 445.329742, 330.269562 
240, -120, -91.986152, 0, 128.150116, 426.582672 
250, -120, -91.542397, 0, 49.448624, 399.887329 
260, -120, -96.925913, 0, 32.632809, 413.212891 
270, -120, -101.735452, 0, 144.857010, 365.852997 
280, -120, -109.064340, 0, 106.628349, 283.719482 
290, -120, -101.847343, 0, 79.282906, 208.319962 
300, -120, -95.611590, 0, 84.659462, 275.721985 
310, -120, -95.214822, 0, 58.680054, 273.929962 
320, -120, -105.160199, 0, 65.157837, 214.180252 
330, -120, -101.483708, 0, 68.017670, 220.442978 
340, -120, -103.721135, 0, 76.854607, 207.465302 
350, -120, -97.759322, 0, 29.638840, 238.518616 
360, -120, -92.847405, 0, 346.656982, 279.792877 
370, -120, -98.550261, 0, 106.097450, 247.150238 
380, -120, -92.384524, 0, 20.589911, 272.442932 
390, -120, -103.465595, 0, 488.136627, 276.097443 
400, -120, -100.519979, 0, 39.854221, 214.987549 
410, -120, -103.406685, 0, 82.600578, 210.744446 
420, 7, -93.286260, 0, 165.895020, 186.313919 
430, -120, -94.392180, 0, 60.605976, 249.377701 
440, -120, -88.255972, 0, 101.661194, 267.336212 
450, -120, -90.305842, 0, 146.999878, 233.554642 
460, -120, -97.028533, 0, 393.325531, 380.069031 
470, -120, -106.246134, 0, 129.034882, 301.838776 
480, -120, -103.710496, 0, 37.800194, 281.590851 
490, -120, -106.231433, 0, 117.406273, 259.990631 
500, -120, -111.756250, 0, 100.801781, 192.304016 
510, -120, -110.834857, 0, 104.413246, 222.414581 
520, -120, -110.490504, 0, 140.844116, 193.882904 
530, -120, -94.715986, 0, 85.596306, 238.208710 
540, 7, -90.244309, 0, 1509.023560, 385.528564 
550, -120, -90.558515, 0, 31.403412, 329.495483 
560, -120, -92.671584, 0, 117.114014, 321.095123 
570, -120, -98.749107, 0, 539.477905, 360.907013 
580, -120, -101.703368, 0, 162.773331, 323.607300 
590, -120, -101.979505, 0, 26.283770, 256.454041 
600, -120, -104.976794, 0, 115.146828, 192.271469 
610, 7, -99.164286, 0, 614.667969, 259.747070 
620, -120, -103.502902, 0, 207.070206, 271.216461 
630, -120, -110.122578, 0, 85.367439, 220.048126 
640, 7, -97.495153, 0, 231.542603, 176.743652 
650, -120, -96.981885, 0, 434.469940, 420.126221 
660, -120, -106.218204, 0, 59.674404, 352.170532 
670, -120, -111.748330, 0, 92.557518, 298.406158 
680, 10, -108.559420, 0, 68.361961, 217.876694 
690, -120, -113.150102, 0, 70.217552, 179.844742 
700, -120, -106.513584, 0, 57.640182, 225.571762 
710, -120, -102.026060, 0, 735.214355, 283.209015 
720, -120, -90.943373, 0, 873.870422, 431.161652 
730, -120, -98.587285, 0, 71.179962, 337.811035 
740, -120, -107.179416, 0, 82.407730, 308.158661 
750, -120, -103.086489, 0, 87.966919, 352.923401 
760, -120, -104.407491, 0, 259.714813, 437.454010 
770, -120, -105.973142, 0, 158.637527, 307.680847 
780, -120, -111.601602, 0, 87.877411, 226.507568 
790, -120, -114.971569, 0, 53.358013, 197.168381 
800, -120, -103.288788, 0, 75.870544, 182.438461 
810, -120, -105.303333, 0, 1386.818848, 238.765213 
820, -120, -111.200563, 0, 105.112358, 232.266434 
830, -120, -105.586219, 0, 152.437454, 224.259689 
840, -120, -106.920697, 0, 158.740387, 173.496979 
850, 7, -96.663218, 0, 358.240265, 192.715179 
860, -120, -97.014042, 0, 581.613342, 208.578598 
870, -120, -102.010680, 0, 342.837189, 252.709412 
880, -120, -96.945267, 0, 619.996643, 266.000244 
890, -120, -106.196280, 0, 158.365036, 282.116882 
900, -120, -106.819276, 0, 136.744461, 224.804184 
910, -120, -106.106589, 0, 1266.517212, 241.765808 
920, -120, -102.674357, 0, 151.776871, 237.082993 
930, -120, -98.372411, 0, 22.290411, 213.410095 
940, -120, -97.667455, 0, 67.453201, 158.953400 
950, -120, -106.628680, 0, 97.144417, 221.148056 
960, -120, -111.994097, 0, 86.526581, 173.056595 
970, -120, -115.206570, 0, 74.769508, 146.212875 
980, -120, -103.730638, 0, 85.832581, 118.500443 
990, -120, -97.725012, 0, 73.409737, 101.280548 
1000, 1, -94.847204, 0, 95.716728, 190.988815 
1010, -120, -99.180717, 0, 82.350899, 151.236374 
1020, -120, -107.534726, 0, 67.077408, 256.866638 
1030, -120, -107.347205, 0, 27.178114, 183.582321 
1040, -120, -112.424304, 0, 113.037689, 169.084686 
1050, -120, -111.014911, 0, 174.521484, 142.948807 
1060, -120, -110.805628, 0, 140.356781, 210.864212 
1070, -120, -104.070247, 0, 122.882202, 184.475433 
1080, -120, -97.725866, 0, 106.099060, 210.547409 
1090, -120, -90.553088, 0, 31.585169, 279.679962 
1100, -120, -97.194386, 0, 97.589905, 298.210724 
1110, -5, -94.242311, 0, 97.101646, 246.422958 
1120, -120, -100.128680, 0, 42.060108, 210.201675 
1130, 7, -87.523871, 0, 88.680656, 192.345490 
1140, -120, -94.519873, 0, 1096.016724, 234.387863 
1150, -5, -80.676737, 0, 114.820290, 339.394104 
1160, -120, -80.289551, 0, 155.934189, 374.716644 
1170, -120, -86.650038, 0, 194.960632, 329.268066 
1180, -120, -90.901426, 0, 264.455200, 351.827698 
1190, 7, -90.501065, 0, 401.144012, 336.403381 
1200, -5, -87.094505, 0, 134.817245, 309.712555 
1210, -120, -100.298265, 0, 129.272537, 228.290024 
1220, -120, -108.203843, 0, 633.479126, 210.337463 
1230, 7, -96.246715, 0, 57.422619, 223.580978 
1240, -5, -90.407078, 0, 528.276550, 276.506439 
1250, -120, -97.106964, 0, 129.214554, 300.256866 
1260, -120, -96.812754, 0, 191.368607, 288.020447 
