-84, -4 
-10, -43 
-90, -46 
-88, -24 
68, -8 
-12, 17 
-64, 7 
64, 36 
46, 45 
70, 45 
44, 45 
68, 47 
60, 57 
64, 47 
-82, 41 
54, 47 
78, 47 
76, 54 
6, 39 
80, 57 
34, 56 
36, 57 
80, 52 
80, 55 
20, 58 
68, 59 
80, 56 
80, 60 
36, 54 
80, 52 
40, 51 
-4, 48 
88, 56 
68, 61 
86, 55 
80, 56 
76, 53 
80, 52 
88, 62 
88, 51 
20, 48 
32, 61 
72, 48 
44, 59 
88, 57 
76, 57 
32, 62 
32, 57 
56, 56 
84, 58 
84, 54 
80, 61 
0, 54 
88, 56 
64, 56 
28, 59 
44, 51 
80, 48 
44, 51 
16, 60 
60, 51 
-58, 51 
44, 60 
82, 58 
64, 50 
44, 54 
80, 52 
8, 52 
76, 61 
76, 56 
16, 49 
52, 49 
56, 55 
84, 55 
80, 57 
52, 54 
44, 56 
32, 60 
40, 53 
40, 44 
60, 63 
88, 55 
88, 62 
42, 54 
76, 62 
52, 59 
88, 62 
38, 64 
68, 57 
68, 55 
84, 71 
56, 65 
82, 54 
56, 57 
16, 56 
20, 54 
40, 61 
38, 54 
26, 55 
58, 58 
84, 46 
80, 55 
80, 60 
38, 65 
74, 60 
8, 59 
36, 57 
78, 63 
48, 50 
88, 64 
24, 48 
8, 45 
48, 57 
48, 49 
32, 50 
32, 46 
8, 47 
-74, 50 
56, 56 
74, 63 
72, 65 
76, 55 
-44, 50 
76, 57 
68, 53 
32, 46 
-98, 58 
-66, 52 
24, 50 
72, 64 
36, 54 
34, 52 
80, 57 
76, 66 
54, 54 
60, 52 
76, 54 
80, 54 
80, 59 
72, 51 
44, 52 
80, 59 
8, 59 
88, 65 
64, 61 
98, 58 
84, 65 
-4, 56 
80, 73 
56, 71 
18, 47 
